(45.01739918458956, -73.16874869143227),
(45.01836800959721, -73.10618610221685),
(45.01958033553123, -73.04662310474178),
(45.018711600330484, -73.00061113469464),
(45.01891711904138, -72.99592652101371),
(45.01887913535635, -72.99392045135963),
(45.000375969952955, -72.9896013125486),
(44.9641106755078, -72.98034017095686),
(44.93555142897535, -72.90036965445861),
(44.90853556038379, -73.0559860964268),
(44.93759595792896, -73.13471444925334),
(44.94356430716226, -73.1418717485467),
(44.94908829258254, -73.15474788933412),
(44.95286742360194, -73.1602045117101),
(44.95884397867992, -73.1635781264838),
(44.971867897736104, -73.16593864920071),
(44.976698108238025, -73.15843100127412),
(44.984234659887136, -73.15134319095083),
(44.9947523792912, -73.15011774784955),
(45.00195367943292, -73.15627458151931),
(45.00268353683761, -73.15745483521054),
(45.00431377916341, -73.16113411648499),
(45.00648458077678, -73.16455679178331),
(45.0082004351001, -73.16658464752174),
(45.01253741200856, -73.16848075393982),
(45.01739918458956, -73.16874869143227),

(45.01710187396248, -73.18739228946355),
(45.01739918458956, -73.16874869143227),
(45.01253741200856, -73.16848075393982),
(45.0082004351001, -73.16658464752174),
(45.00648458077678, -73.16455679178331),
(45.00431377916341, -73.16113411648499),
(45.00268353683761, -73.15745483521054),
(45.00195367943292, -73.15627458151931),
(44.99936131006882, -73.15660628219925),
(44.99844555770416, -73.15562057092266),
(44.9975271365295, -73.1545081185507),
(44.99689708560925, -73.15440195069974),
(44.996272382340685, -73.15480195336403),
(44.99569353867161, -73.15799250643738),
(44.99617431695633, -73.15988001230389),
(44.997619251386396, -73.16021485560728),
(44.997633968388335, -73.16110164275574),
(44.997020684374895, -73.16213702906072),
(44.9922959263779, -73.16495198496855),
(44.99032819858847, -73.16577589341274),
(44.98609896459923, -73.16591094231076),
(44.984670254187975, -73.16659085958582),
(44.98171476690159, -73.16757283948606),
(44.98001631976205, -73.16826132067403),
(44.979217633590814, -73.1690476544467),
(44.97942405036366, -73.17068980298352),
(44.982917622878894, -73.1695641401434),
(44.98461880695228, -73.16900240950639),
(44.98784732983398, -73.16826524575926),
(44.98875107905225, -73.16849018577987),
(44.98929938462029, -73.16898010389176),
(44.99023279750429, -73.17110688898327),
(44.991643503236574, -73.17486776359327),
(44.99186169836568, -73.1772709729499),
(44.99173630317226, -73.18070020260903),
(44.99104746933675, -73.18262480684396),
(44.9902557738485, -73.18379159601778),
(44.98865782859002, -73.18523740784696),
(44.98419368905352, -73.18753455761),
(44.98303204214759, -73.18807851309859),
(44.98142921889763, -73.1891439083076),
(44.97859995018092, -73.19240370485247),
(44.97825891512807, -73.19355601278765),
(44.977824149487084, -73.19458409209359),
(44.97685091432404, -73.19562937099035),
(44.97570086837655, -73.19693360728438),
(44.97447105783729, -73.1988743855945),
(44.9735094946077, -73.20068001545215),
(44.973527052746824, -73.20182085932888),
(44.97425933682611, -73.20255879636855),
(44.974814976808574, -73.20355597739453),
(44.974828191866564, -73.20444342086105),
(44.97300755171182, -73.20881193628891),
(44.97176320558717, -73.20986520704089),
(44.97132086157638, -73.21038614213289),
(44.96981519267974, -73.21195474191842),
(44.967063590914684, -73.21444955010737),
(44.9650980702478, -73.21539808567776),
(44.96160517259156, -73.21652080600525),
(44.95911167601855, -73.21824634706842),
(44.955828655339445, -73.22126381696853),
(44.953325444147275, -73.22248216661323),
(44.95109428349543, -73.22369208073675),
(44.949304359947334, -73.22438085689362),
(44.94394724824583, -73.22720784543328),
(44.94198007409278, -73.22802910450397),
(44.93748074204424, -73.22816744391301),
(44.93540513910919, -73.22785103898758),
(44.934228616101116, -73.2273804422307),
(44.9324044310234, -73.2259158452007),
(44.92858682227183, -73.22349895938035),
(44.92766157361045, -73.22188033460937),
(44.927373207788904, -73.22074872398919),
(44.926616209364624, -73.21836475451167),
(44.92588086960726, -73.2173737647568),
(44.924965544368945, -73.21638845715545),
(44.924150253089714, -73.21603355615376),
(44.921524919112436, -73.21510125495875),
(44.92105668997293, -73.21397546118067),
(44.92112649875486, -73.2127063397699),
(44.922075121086706, -73.2100161685848),
(44.927226019150446, -73.20554781693907),
(44.928472001524995, -73.20462195902572),
(44.93088875144712, -73.2037861929981),
(44.932136244415204, -73.2029869752881),
(44.93274666731054, -73.20170065121228),
(44.93387807355134, -73.1992574266226),
(44.934546445621855, -73.19594162120192),
(44.93468566655701, -73.19340276881992),
(44.93445918434977, -73.1904950068759),
(44.93425999921436, -73.18923403123219),
(44.931962259632854, -73.18056235529843),
(44.93101913627032, -73.17793095866226),
(44.93016814565124, -73.17529662475796),
(44.928304918802844, -73.17142760163414),
(44.92710318893357, -73.16943847047037),
(44.92654889536294, -73.16856898339269),
(44.92553453165485, -73.16708068379218),
(44.92250893012141, -73.16362940596149),
(44.92142091884595, -73.16315689888721),
(44.92033564230655, -73.16281127402034),
(44.91934353812233, -73.16271622638727),
(44.91584822203621, -73.16371503821482),
(44.912188760168775, -73.16560524177389),
(44.91003178976397, -73.16580051070835),
(44.90833206275519, -73.16648794227102),
(44.90654395409764, -73.16730472605187),
(44.90268829697471, -73.16818751881452),
(44.89764918584816, -73.16834761196439),
(44.894597520472395, -73.16895119119377),
(44.88957847670745, -73.17025026359165),
(44.88698684092411, -73.1714719992658),
(44.885825061076496, -73.17201538796644),
(44.883056233528414, -73.1733694186235),
(44.88099936391814, -73.1741941742764),
(44.87779099167348, -73.17619465088013),
(44.87763072310675, -73.17632084181591),
(44.87494556212296, -73.17843673074206),
(44.87378810654015, -73.17923287993436),
(44.87201557900286, -73.18093456863495),
(44.86977921375163, -73.18189112108172),
(44.8691495843661, -73.1819109572037),
(44.8677060662959, -73.18170328262154),
(44.86088990734422, -73.1833102620244),
(44.859092499527364, -73.18349335618092),
(44.85586346762255, -73.18422751314282),
(44.85460418656488, -73.18426738008436),
(44.85280568927198, -73.18445027062464),
(44.85128091718756, -73.18475147225212),
(44.84912261665317, -73.18494570571228),
(44.84705805637645, -73.18526360584114),
(44.83887039946643, -73.18552108212508),
(44.833847102941476, -73.18669100213747),
(44.83268955036494, -73.18748607587611),
(44.83064698163417, -73.1891947805031),
(44.82320506961977, -73.19107220304348),
(44.82122660132987, -73.19126052281847),
(44.81960901521708, -73.1914375372233),
(44.817271899169214, -73.19163718816213),
(44.8154744006689, -73.19181990424201),
(44.81280524155887, -73.19380026544992),
(44.811733318525185, -73.1943396446189),
(44.810743843158384, -73.19437038440844),
(44.80820211340216, -73.19305888883513),
(44.80801198746577, -73.19243242466034),
(44.808352600538676, -73.19115740285812),
(44.811574771478305, -73.19004480636582),
(44.813096521900874, -73.18949159882808),
(44.814867638167165, -73.18766544797182),
(44.81555619841526, -73.18562065908837),
(44.81533648793909, -73.1830981610731),
(44.81494330358221, -73.18108701523536),
(44.813912370712494, -73.17846394156639),
(44.812812435767846, -73.17723393199182),
(44.811888015425254, -73.17574545360112),
(44.81151039255895, -73.17461945494807),
(44.810938241089936, -73.17261404767427),
(44.80892573990928, -73.17065442712249),
(44.80756776911062, -73.17019167358985),
(44.80641029062995, -73.17098709650831),
(44.8037219615982, -73.17170421877655),
(44.80202475318132, -73.17251652134725),
(44.801143058581246, -73.17368212991259),
(44.80071003557135, -73.17483368643755),
(44.80103982111653, -73.17849000505254),
(44.8015973153796, -73.1796103280387),
(44.801611883362085, -73.1804948883206),
(44.80135278563351, -73.18126149401685),
(44.800820061948414, -73.18165768650857),
(44.7999221717424, -73.18181239929966),
(44.798224888466045, -73.18262436855139),
(44.797343092239856, -73.18378975743272),
(44.796821095649506, -73.18494400756137),
(44.79584341574845, -73.1857332691726),
(44.79468146946734, -73.18627531709346),
(44.79342801958086, -73.18669370660155),
(44.788681328921406, -73.18823297698712),
(44.78787492168317, -73.1885109379721),
(44.78697972728231, -73.18879172571938),
(44.783998263530805, -73.1881266711822),
(44.783270011335055, -73.18764396871897),
(44.781876653045494, -73.18490705475679),
(44.78097283570065, -73.18468263904094),
(44.77980932765644, -73.18509828641074),
(44.77900718586822, -73.18562897962195),
(44.7775781607234, -73.18630573907491),
(44.777560450034514, -73.18516870587737),
(44.77753245444179, -73.1834003137737),
(44.77742640009663, -73.18239263095764),
(44.77794885535386, -73.18136510772855),
(44.778657737618495, -73.18058447843322),
(44.779436634223366, -73.17866426882703),
(44.77923028133764, -73.17702775195181),
(44.77948935758932, -73.17626140736395),
(44.78155082288089, -73.17569096970658),
(44.7827142998206, -73.17527487783921),
(44.78539940402406, -73.17430555803162),
(44.78836633143296, -73.17408558322418),
(44.79168547231516, -73.17334875198232),
(44.7927562416406, -73.17280927691333),
(44.79328514937879, -73.17203413720692),
(44.79394738594322, -73.16847351527595),
(44.79400909920628, -73.16670169286982),
(44.79530466935848, -73.16324734511825),
(44.79606964248605, -73.16044206747175),
(44.796777305968384, -73.15966030043505),
(44.79757656442152, -73.15900338398731),
(44.800441404361706, -73.1580272856473),
(44.806253516763704, -73.15556517218977),
(44.80740645553577, -73.15451787020827),
(44.80835279465201, -73.15183243102571),
(44.80850697255761, -73.15018331109987),
(44.808666067985435, -73.1489134812857),
(44.80815053112101, -73.14488305106158),
(44.80739360471308, -73.1426321924962),
(44.80646715710214, -73.14101777907211),
(44.80518195933434, -73.13941494663152),
(44.803450865564834, -73.13820656508106),
(44.80200716567479, -73.13800103786589),
(44.799942732363995, -73.13831965855496),
(44.79904649102862, -73.13860171530746),
(44.79814696306159, -73.13863098528854),
(44.794022848469844, -73.13964833291992),
(44.79196496055518, -73.14047223506368),
(44.79116249985591, -73.14087797358376),
(44.78938138061179, -73.1418440004268),
(44.788930733911215, -73.14208661584976),
